zl,zs,pix_arc,nfw_name,nfw_x0,nfw_y0,nfw_logmass,nfw_concentration,nfw_axisrat,nfw_theta,nfw_add,nfw_radius,nfw_rho0,hern_name,hern_x0,hern_y0,hern_logmass,hern_effrad,hern_axisrat,hern_theta,hern_add,hern_radius,hern_norm,mult1_m,mult1_x0,mult1_y0,mult1_norm,mult1_slope,mult1_theta,mult1_add,mult3_m,mult3_x0,mult3_y0,mult3_norm,mult3_slope,mult3_theta,mult3_add,mult4_m,mult4_x0,mult4_y0,mult4_norm,mult4_slope,mult4_theta,mult4_add,ex_norm,ex_theta,ex_add,rhoc,sigCrit,angDist
0.6741974297996416,4.651325958699917,24.704840111297887,p01,0.0,0.0,12.684604827139264,6.302057039630747,0.85,0.0,True,43.95948635018782,16110333.57778357,p02,0.0,0.0,11.303448218202815,2.6327737346011992,0.85,0.0,True,1.450658327765261,10485108848.683985,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,271.5697582107036,1647384029.8946612,1471437.6381769388
1.191527714312894,2.150675651770942,46.91630238674486,p01,0.0,0.0,12.811328046497044,4.977817385733906,0.85,0.0,True,50.531933792632415,16723306.896877801,p02,0.0,0.0,11.320134875273254,2.9421738106073714,0.85,0.0,True,1.6211377696446618,7807198729.592671,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,485.7298636047196,3074535443.367184,1744221.8759757124
0.4642817922710189,1.6746684521788455,48.16627082479859,p01,0.0,0.0,12.298824398207575,7.608725921439307,0.85,0.0,True,29.292046198939847,19860270.028551217,p02,0.0,0.0,10.767035972605095,1.124538550325025,0.85,0.0,True,0.6196207412290888,39127154338.837456,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,214.5462069020476,2173136365.785751,1221137.4823807306
0.7242927484093606,3.193372135866203,127.15531731112247,p01,0.0,0.0,11.878395054880034,7.128487630233143,0.85,0.0,True,20.537468680185956,22793704.11988028,p02,0.0,0.0,10.043017036805765,0.7431587095514169,0.85,0.0,True,0.40948044896283076,25593969972.903774,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,287.5037452401602,1791530504.4040523,1515493.0943515166
0.7805708189016198,1.718778594908682,104.22928399806472,p01,0.0,0.0,11.93821578145545,6.84959781417222,0.85,0.0,True,21.904684634517665,22115186.26184681,p02,0.0,0.0,10.328704728581211,0.5275048662848846,0.85,0.0,True,0.2906551813229714,138162649344.43124,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,306.5426771582448,2483443013.2622375,1559212.46370889
0.6047004799326348,1.381511258483618,74.54261228741963,p01,0.0,0.0,11.960687513094989,7.492148503797286,0.85,0.0,True,21.778617269699645,22394777.118991844,p02,0.0,0.0,10.58789712505648,0.6137869413095483,0.85,0.0,True,0.3381966046615611,159297708017.7204,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,250.9914158901993,2532208594.7476177,1401289.6624516286
0.3726023687332104,1.6905432670506262,158.75594364082428,p01,0.0,0.0,11.668713193944553,9.139625645472686,0.85,0.0,True,15.541904005541817,27942900.73686155,p02,0.0,0.0,9.712954806382017,0.5369965633215766,0.85,0.0,True,0.2958851063901887,31725291599.571487,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,194.2212296954822,2236750753.1910214,1069170.2824775202
0.9053001105608991,2.2375733007913996,152.02458374925945,p01,0.0,0.0,11.821307868901414,6.579359776557055,0.85,0.0,True,19.88518334598667,23179201.867116574,p02,0.0,0.0,9.999117039516692,0.28449075064546747,0.85,0.0,True,0.1567544036056526,412361319870.41986,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,353.2234750242348,2262218937.277158,1637406.4508797976
0.24894028774278504,0.5082617915146257,95.80833418206296,p01,0.0,0.0,11.787617071316586,9.689715374560691,0.85,0.0,True,16.763263227162852,28326809.271429796,p02,0.0,0.0,10.364592888894007,0.7755187776028801,0.85,0.0,True,0.427310846459187,47226011712.47156,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,170.80072570799732,4298290798.772657,808439.5543000067
0.7033979475590983,2.371292450826067,104.04612828006115,p01,0.0,0.0,11.84989716600511,7.2459040667929715,0.85,0.0,True,19.92494371955644,23136722.390772182,p02,0.0,0.0,10.28387664189441,0.7938722352604998,0.85,0.0,True,0.4374236016285354,36558648903.39478,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,280.7433717303943,1972005681.3160796,1497736.8310368806
